,Dataline,PlayerLinenumber,Play,ActSceneLine,PlayerLine
71753,71754,11.0,22,13742,92346
14293,14294,6.0,3,8305,96881
679,680,12.0,9,3256,27192
68356,68357,72.0,1,6998,14501
106395,106396,91.0,34,4734,24475
64110,64111,75.0,20,13100,17987
66046,66047,42.0,21,8227,19363
70081,70082,10.0,22,3754,95157
12405,12406,13.0,13,15093,31307
60210,60211,9.0,19,9267,39508
18606,18607,11.0,4,624,53207
61749,61750,19.0,20,1833,56852
23913,23914,45.0,0,11841,17790
40599,40600,36.0,14,990,14808
39562,39563,1.0,10,12880,43846
78613,78614,29.0,25,443,44253
99458,99459,62.0,32,875,40433
63966,63967,38.0,20,12943,48930
21035,21036,60.0,4,6642,74828
4948,4949,4.0,11,7970,54081
101521,101522,15.0,32,10096,88630
78915,78916,38.0,25,1585,25520
54662,54663,18.0,18,13340,91970
61904,61905,3.0,20,3178,22588
107398,107399,11.0,34,10769,36893
64661,64662,40.0,21,2214,96998
27309,27310,42.0,6,12140,8547
53550,53551,85.0,18,3165,49982
3107,3108,28.0,9,14931,69939
43891,43892,14.0,16,3043,81883
46976,46977,30.0,15,3042,49494
76727,76728,1.0,24,4671,57531
60205,60206,7.0,19,9212,77714
93635,93636,40.0,29,13046,69903
51758,51759,3.0,17,11002,3668
34852,34853,8.0,8,7782,40130
46874,46875,5.0,15,3100,9003
35414,35415,9.0,8,12009,90729
70117,70118,2.0,22,4369,59020
71522,71523,49.0,22,12953,81306
23586,23587,35.0,0,8947,9010
65517,65518,15.0,21,6968,94649
87803,87804,4.0,27,10314,94181
99593,99594,124.0,32,1015,79620
93745,93746,71.0,29,13162,29151
9242,9243,25.0,12,13477,23106
110250,110251,123.0,2,11314,49195
29865,29866,1.0,7,5365,45511
45448,45449,46.0,16,9987,52745
42441,42442,10.0,14,9134,67806
60693,60694,5.0,19,10914,29509
4956,4957,5.0,11,8048,39791
67173,67174,33.0,1,405,36115
47757,47758,83.0,15,6147,86504
34320,34321,41.0,8,5992,94950
66684,66685,5.0,21,13019,103139
61217,61218,137.0,19,13288,78503
35972,35973,28.0,8,13451,498
30528,30529,26.0,7,8450,55087
65269,65270,83.0,21,3859,23485
30925,30926,38.0,7,9868,72145
14817,14818,21.0,3,10814,96953
84620,84621,144.0,26,11323,80392
64616,64617,16.0,21,2168,94667
53527,53528,68.0,18,3142,1456
26571,26572,138.0,6,6232,29790
76101,76102,13.0,24,1454,74949
52169,52170,5.0,17,12545,31733
38709,38710,55.0,10,9022,99892
25577,25578,66.0,6,3124,6898
108016,108017,17.0,2,1405,72705
63499,63500,44.0,20,9039,18845
81344,81345,1.0,26,435,44644
55543,55544,352.0,18,14256,95951
97917,97918,2.0,31,6880,23466
109065,109066,52.0,2,4397,73874
75531,75532,104.0,23,13661,61036
31038,31039,65.0,7,9988,63309
21312,21313,9.0,4,12398,55005
27752,27753,1.0,6,13452,74609
43,44,2.0,9,669,78175
56999,57000,9.0,35,7091,89146
1958,1959,5.0,9,6788,74344
41402,41403,8.0,14,4671,42322
1176,1177,68.0,9,4731,9621
83064,83065,65.0,26,5984,33954
35129,35130,56.0,8,7962,70361
37426,37427,26.0,10,3655,17158
10001,10002,5.0,13,2171,15574
15102,15103,1.0,3,11579,72802
66994,66995,75.0,21,15267,24319
4672,4673,1.0,11,7201,63371
76526,76527,5.0,24,3687,12190
51725,51726,17.0,17,10792,74719
26737,26738,27.0,6,6768,26669
43138,43139,16.0,14,14863,35875
59698,59699,29.0,19,5935,66217
53963,53964,40.0,18,8964,85503
90209,90210,60.0,28,6867,43227
75159,75160,2.0,23,13441,14147
68941,68942,20.0,1,12910,44786
5397,5398,16.0,11,12102,88657
12725,12726,22.0,3,785,16632
46340,46341,4.0,15,1194,30783
40885,40886,8.0,14,3056,40851
70553,70554,24.0,22,7202,9949
56373,56374,7.0,35,3133,39850
12236,12237,44.0,13,12921,4920
78543,78544,18.0,25,366,53722
83821,83822,5.0,26,8968,42413
110310,110311,132.0,2,11377,32679
11573,11574,27.0,13,9390,21793
46189,46190,13.0,16,15981,47068
739,740,30.0,9,3629,99012
98982,98983,4.0,31,14547,68519
42248,42249,85.0,14,7063,69414
15496,15497,27.0,3,14563,56296
16233,16234,20.0,5,1734,5838
942,943,11.0,9,4623,80691
87451,87452,16.0,27,8410,51088
13073,13074,30.0,3,1869,94697
11225,11226,4.0,13,7326,25807
100524,100525,41.0,32,4264,20933
77350,77351,8.0,24,9290,78096
68755,68756,45.0,1,9053,11395
13115,13116,36.0,3,1488,80373
53470,53471,44.0,18,3082,17041
81527,81528,1.0,26,895,35425
81757,81758,86.0,26,1014,59569
10437,10438,10.0,13,4229,37372
64904,64905,54.0,21,3098,45206
100554,100555,42.0,32,4297,2250
21837,21838,28.0,4,9841,5408
73781,73782,57.0,23,7340,24034
76731,76732,3.0,24,4715,73748
46992,46993,35.0,15,3060,60034
74589,74590,65.0,23,9014,14638
97730,97731,26.0,31,5987,73554
53956,53957,36.0,18,8959,72092
43247,43248,47.0,14,14595,72899
53017,53018,64.0,18,456,90693
8401,8402,25.0,12,9398,2977
63187,63188,9.0,20,8159,19311
15673,15674,96.0,3,14753,75313
60089,60090,72.0,19,6870,103012
110422,110423,153.0,2,11500,31421
91459,91460,19.0,29,757,99394
104862,104863,148.0,33,8129,94476
88495,88496,52.0,27,14652,75305
28002,28003,6.0,6,14836,68163
47909,47910,33.0,15,6782,33962
96114,96115,15.0,30,13385,23664
94703,94704,80.0,30,3784,86508
59521,59522,37.0,19,4685,55111
548,549,29.0,9,1589,63226
54889,54890,42.0,18,13562,66584
18223,18224,16.0,5,14142,97890
31945,31946,20.0,7,15123,18840
42092,42093,61.0,14,6894,47658
92558,92559,7.0,29,4229,99156
68709,68710,38.0,1,9004,33373
41550,41551,25.0,14,4712,64058
68811,68812,9.0,1,9996,56415
107480,107481,14.0,34,11635,50194
22763,22764,20.0,0,3455,13441
26394,26395,65.0,6,6046,53691
54570,54571,93.0,18,10626,70582
103438,103439,101.0,33,2370,6708
6983,6984,33.0,12,3612,87297
38428,38429,53.0,10,8878,29362
47182,47183,71.0,15,3268,62280
102850,102851,4.0,32,13486,6880
105394,105395,95.0,33,13097,15519
96353,96354,1.0,30,14866,54667
76013,76014,1.0,24,884,69080
59162,59163,22.0,19,4142,6749
13076,13077,32.0,3,1872,34955
102747,102748,15.0,32,15819,27631
54573,54574,93.0,18,10629,22241
68190,68191,32.0,1,6815,89591
3585,3586,9.0,11,1634,53964
102220,102221,32.0,32,13467,63670
57589,57590,26.0,35,10288,7229
93743,93744,70.0,29,13161,71097
89457,89458,1.0,28,3033,27319
17186,17187,75.0,5,6912,21580
40574,40575,29.0,14,962,62331
55930,55931,16.0,35,1827,3441
74213,74214,17.0,23,8014,84496
2918,2919,10.0,9,14647,57769
18300,18301,6.0,5,14514,100059
13337,13338,34.0,3,3619,41104
104071,104072,67.0,33,5209,97386
77659,77660,14.0,24,10890,74339
1300,1301,118.0,9,4866,96944
91557,91558,18.0,29,1428,15482
8082,8083,48.0,12,6900,72297
109752,109753,29.0,2,10346,95497
231,232,39.0,9,881,17685
71822,71823,2.0,22,14624,41830
3082,3083,27.0,9,14905,81435
19590,19591,13.0,4,4584,30986
10655,10656,1.0,13,5300,82052
93747,93748,71.0,29,13165,62102
74588,74589,64.0,23,9013,79346
29024,29025,11.0,7,2478,48756
61646,61647,51.0,20,520,96942
65687,65688,45.0,21,7296,80752
37069,37070,24.0,10,1024,11732
49095,49096,20.0,17,786,52662
69238,69239,100.0,1,13212,18300
42682,42683,13.0,14,10322,58440
39096,39097,17.0,10,11124,15236
8544,8545,39.0,12,10298,91207
10913,10914,6.0,13,6064,13572
63011,63012,37.0,20,6942,47777
54579,54580,93.0,18,10635,54540
34741,34742,128.0,8,7033,34804
26664,26665,11.0,6,7046,55960
44173,44174,83.0,16,3349,13099
3708,3709,6.0,11,2168,39909
39405,39406,2.0,10,12725,26923
25248,25249,1.0,6,2895,28761
91111,91112,37.0,28,13450,95471
99362,99363,6.0,32,928,1721
18037,18038,28.0,5,10377,25750
81966,81967,50.0,26,1525,83402
38046,38047,19.0,10,8014,51179
101803,101804,1.0,32,12120,5956
60320,60321,21.0,19,10289,14800
86949,86950,51.0,27,5980,33398
106607,106608,21.0,34,5707,78127
6638,6639,17.0,12,1835,11156
81642,81643,42.0,26,892,89765
92289,92290,103.0,29,3129,79896
73594,73595,19.0,23,6208,75576
1340,1341,132.0,9,4910,79562
8100,8101,54.0,12,6917,90800
12010,12011,23.0,13,12646,73464
59020,59021,84.0,19,3141,36288
117,118,2.0,9,1194,92250
54976,54977,79.0,18,13652,31971
88411,88412,28.0,27,14574,67107
83104,83105,75.0,26,6027,26304
90968,90969,11.0,28,11976,81076
52017,52018,54.0,17,12266,39078
15545,15546,39.0,3,14612,84939
72603,72604,56.0,23,1643,62942
109597,109598,3.0,2,9874,101098
32539,32540,48.0,8,327,20896
21983,21984,6.0,4,13698,14194
50321,50322,49.0,17,3666,65226
26558,26559,135.0,6,6217,68651
48808,48809,12.0,15,14841,27552
49379,49380,1.0,17,1194,66208
5018,5019,7.0,11,9279,29594
78391,78392,31.0,24,14522,1411
40941,40942,25.0,14,3607,61271
5850,5851,58.0,11,14587,11808
69790,69791,37.0,22,3629,83269
65359,65360,48.0,21,4631,19198
26931,26932,48.0,6,7318,52760
83744,83745,30.0,26,8734,57583
58465,58466,1.0,19,1083,100765
14701,14702,10.0,3,10040,652
45675,45676,52.0,16,10404,11822
53591,53592,103.0,18,3209,93530
28813,28814,5.0,7,1926,8956
38506,38507,1.0,10,8913,67961
44278,44279,95.0,16,3465,20108
105378,105379,93.0,33,13080,53076
95333,95334,44.0,30,8627,88747
80515,80516,30.0,25,8984,36074
688,689,19.0,9,3355,73525
44917,44918,12.0,16,8145,71848
60547,60548,21.0,19,10814,52243
56979,56980,6.0,35,6869,22509
63806,63807,2.0,20,10303,28305
71700,71701,103.0,22,13147,94273
71211,71212,70.0,22,9120,58891
105917,105918,17.0,34,1839,6327
13452,13453,57.0,3,3135,87473
53535,53536,75.0,18,3151,26911
50108,50109,19.0,17,3544,47859
35621,35622,62.0,8,11973,54546
23758,23759,16.0,0,10858,99590
73669,73670,10.0,23,7548,85555
100127,100128,42.0,32,3612,95566
52606,52607,61.0,17,14639,31842
92414,92415,143.0,29,3265,70953
89196,89197,13.0,28,1072,95847
25967,25968,24.0,6,4619,98814
27030,27031,8.0,6,9334,1242
80617,80618,45.0,25,9095,39083
23830,23831,8.0,0,11025,73660
104614,104615,70.0,33,7874,102815
81632,81633,37.0,26,881,37908
36661,36662,146.0,8,13889,53151
78791,78792,18.0,25,1876,11946
86874,86875,27.0,27,6329,92632
10725,10726,5.0,13,5374,66469
24157,24158,50.0,0,12955,84577
44449,44450,7.0,16,6292,25959
55506,55507,333.0,18,14215,70813
12765,12766,27.0,3,824,88303
95542,95543,11.0,30,10885,80148
10067,10068,14.0,13,1890,53449
37381,37382,21.0,10,4220,4458
66418,66419,13.0,21,11280,62891
39878,39879,36.0,10,13655,95318
8891,8892,31.0,12,12480,94948
34081,34082,159.0,8,4136,23778
41765,41766,20.0,14,5937,56405
103219,103220,10.0,33,2311,94372
7568,7569,18.0,12,5951,28378
109821,109822,6.0,2,11313,54008
26192,26193,2.0,6,6041,29008
57786,57787,21.0,35,10394,83959
82518,82519,17.0,26,3500,15163
70063,70064,1.0,22,3753,93333
93971,93972,59.0,30,393,33214
20655,20656,8.0,4,6367,67517
39319,39320,25.0,10,12483,92234
71565,71566,64.0,22,13000,3684
65898,65899,41.0,21,8193,4725
46197,46198,14.0,16,15990,79730
57407,57408,15.0,35,9377,76259
41262,41263,1.0,14,4604,60077
28971,28972,2.0,7,2453,38131
19568,19569,10.0,4,4370,18520
84681,84682,168.0,26,11387,23726
27306,27307,42.0,6,12137,66200
93692,93693,54.0,29,13108,21390
9824,9825,9.0,13,873,90175
110741,110742,1.0,2,13018,2130
87968,87969,1.0,27,11865,81325
41056,41057,40.0,14,3124,54426
49476,49477,28.0,17,1455,74721
1558,1559,3.0,9,6341,24150
7621,7622,25.0,12,6010,49829
70410,70411,4.0,22,6175,23363
10835,10836,10.0,13,5490,36330
106299,106300,48.0,34,5164,14952
49101,49102,21.0,17,793,59286
48728,48729,41.0,15,12931,49044
73456,73457,86.0,23,4479,41525
102719,102720,1.0,32,15698,76748
35779,35780,19.0,8,12685,87012
76109,76110,15.0,24,869,46478
52778,52779,120.0,17,14818,29182
80536,80537,31.0,25,9007,74789
40008,40009,72.0,10,13796,41399
1431,1432,162.0,9,5011,308
7920,7921,25.0,12,7260,7764
103758,103759,65.0,33,4305,100513
10172,10173,2.0,13,3189,76724
85739,85740,19.0,27,1854,11212
107373,107374,6.0,34,10492,59195
2361,2362,27.0,9,8980,69540
102062,102063,93.0,32,12016,41245
89258,89259,23.0,28,1447,31562
62747,62748,1.0,20,7259,16492
99301,99302,23.0,32,799,57364
71965,71966,51.0,22,14903,55341
41815,41816,30.0,14,5992,47268
106662,106663,3.0,34,6164,34037
67954,67955,45.0,1,5955,90729
104650,104651,82.0,33,7912,103174
104823,104824,136.0,33,8088,62971
11767,11768,3.0,13,11246,81102
97307,97308,17.0,31,4278,9229
