Dataline,Play,PlayerLinenumber,ActSceneLine,PlayerLine
1,Henry IV,,,ACT I
2,Henry IV,,,SCENE I. London. The palace.
3,Henry IV,,,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others"
4,Henry IV,1,1.1.1,"So shaken as we are, so wan with care,"
5,Henry IV,1,1.1.2,"Find we a time for frighted peace to pant,"
6,Henry IV,1,1.1.3,And breathe short-winded accents of new broils
7,Henry IV,1,1.1.4,To be commenced in strands afar remote.
8,Henry IV,1,1.1.5,No more the thirsty entrance of this soil
9,Henry IV,1,1.1.6,"Shall daub her lips with her own children's blood,"
10,Henry IV,1,1.1.7,"Nor more shall trenching war channel her fields,"
11,Henry IV,1,1.1.8,Nor bruise her flowerets with the armed hoofs
12,Henry IV,1,1.1.9,"Of hostile paces: those opposed eyes,"
13,Henry IV,1,1.1.10,"Which, like the meteors of a troubled heaven,"
14,Henry IV,1,1.1.11,"All of one nature, of one substance bred,"
15,Henry IV,1,1.1.12,Did lately meet in the intestine shock
16,Henry IV,1,1.1.13,And furious close of civil butchery
17,Henry IV,1,1.1.14,"Shall now, in mutual well-beseeming ranks,"
18,Henry IV,1,1.1.15,March all one way and be no more opposed
19,Henry IV,1,1.1.16,"Against acquaintance, kindred and allies:"
20,Henry IV,1,1.1.17,"The edge of war, like an ill-sheathed knife,"
21,Henry IV,1,1.1.18,"No more shall cut his master. Therefore, friends,"
22,Henry IV,1,1.1.19,"As far as to the sepulchre of Christ,"
23,Henry IV,1,1.1.20,"Whose soldier now, under whose blessed cross"
24,Henry IV,1,1.1.21,"We are impressed and engaged to fight,"
25,Henry IV,1,1.1.22,"Forthwith a power of English shall we levy,"
26,Henry IV,1,1.1.23,Whose arms were moulded in their mothers' womb
27,Henry IV,1,1.1.24,To chase these pagans in those holy fields
28,Henry IV,1,1.1.25,Over whose acres walk'd those blessed feet
29,Henry IV,1,1.1.26,Which fourteen hundred years ago were nail'd
30,Henry IV,1,1.1.27,For our advantage on the bitter cross.
31,Henry IV,1,1.1.28,"But this our purpose now is twelve month old,"
32,Henry IV,1,1.1.29,And bootless 'tis to tell you we will go:
33,Henry IV,1,1.1.30,Therefore we meet not now. Then let me hear
34,Henry IV,1,1.1.31,"Of you, my gentle cousin Westmoreland,"
35,Henry IV,1,1.1.32,What yesternight our council did decree
36,Henry IV,1,1.1.33,In forwarding this dear expedience.
37,Henry IV,2,1.1.34,"My liege, this haste was hot in question,"
38,Henry IV,2,1.1.35,And many limits of the charge set down
39,Henry IV,2,1.1.36,But yesternight: when all athwart there came
40,Henry IV,2,1.1.37,"A post from Wales loaden with heavy news,"
41,Henry IV,2,1.1.38,"Whose worst was, that the noble Mortimer,"
42,Henry IV,2,1.1.39,Leading the men of Herefordshire to fight
43,Henry IV,2,1.1.40,"Against the irregular and wild Glendower,"
44,Henry IV,2,1.1.41,"Was by the rude hands of that Welshman taken,"
45,Henry IV,2,1.1.42,"A thousand of his people butchered,"
46,Henry IV,2,1.1.43,"Upon whose dead corpse there was such misuse,"
47,Henry IV,2,1.1.44,"Such beastly shameless transformation,"
48,Henry IV,2,1.1.45,By those Welshwomen done as may not be
49,Henry IV,2,1.1.46,Without much shame retold or spoken of.
50,Henry IV,3,1.1.47,It seems then that the tidings of this broil
51,Henry IV,3,1.1.48,Brake off our business for the Holy Land.
52,Henry IV,4,1.1.49,"This match'd with other did, my gracious lord,"
53,Henry IV,4,1.1.50,For more uneven and unwelcome news
54,Henry IV,4,1.1.51,Came from the north and thus it did import:
55,Henry IV,4,1.1.52,"On Holy-rood day, the gallant Hotspur there,"
56,Henry IV,4,1.1.53,"Young Harry Percy and brave Archibald,"
57,Henry IV,4,1.1.54,"That ever-valiant and approved Scot,"
58,Henry IV,4,1.1.55,"At Holmedon met,"
59,Henry IV,4,1.1.56,"Where they did spend a sad and bloody hour,"
60,Henry IV,4,1.1.57,"As by discharge of their artillery,"
61,Henry IV,4,1.1.58,"And shape of likelihood, the news was told,"
62,Henry IV,4,1.1.59,"For he that brought them, in the very heat"
63,Henry IV,4,1.1.60,"And pride of their contention did take horse,"
64,Henry IV,4,1.1.61,Uncertain of the issue any way.
65,Henry IV,5,1.1.62,"Here is a dear, a true industrious friend,"
66,Henry IV,5,1.1.63,"Sir Walter Blunt, new lighted from his horse."
67,Henry IV,5,1.1.64,Stain'd with the variation of each soil
68,Henry IV,5,1.1.65,"Betwixt that Holmedon and this seat of ours,"
69,Henry IV,5,1.1.66,And he hath brought us smooth and welcome news.
70,Henry IV,5,1.1.67,The Earl of Douglas is discomfited:
71,Henry IV,5,1.1.68,"Ten thousand bold Scots, two and twenty knights,"
72,Henry IV,5,1.1.69,Balk'd in their own blood did Sir Walter see
73,Henry IV,5,1.1.70,"On Holmedon's plains. Of prisoners, Hotspur took"
74,Henry IV,5,1.1.71,"Mordake the Earl of Fife, and eldest son"
75,Henry IV,5,1.1.72,"To beaten Douglas, and the Earl of Athol,"
76,Henry IV,5,1.1.73,"Of Murray, Angus, and Menteith:"
77,Henry IV,5,1.1.74,And is not this an honourable spoil?
78,Henry IV,5,1.1.75,"A gallant prize? ha, cousin, is it not?"
79,Henry IV,6,1.1.76,"In faith,"
80,Henry IV,6,1.1.77,It is a conquest for a prince to boast of.
81,Henry IV,7,1.1.78,"Yea, there thou makest me sad and makest me sin"
82,Henry IV,7,1.1.79,In envy that my Lord Northumberland
83,Henry IV,7,1.1.80,"Should be the father to so blest a son,"
84,Henry IV,7,1.1.81,"A son who is the theme of honour's tongue,"
85,Henry IV,7,1.1.82,"Amongst a grove, the very straightest plant,"
86,Henry IV,7,1.1.83,Who is sweet Fortune's minion and her pride:
87,Henry IV,7,1.1.84,"Whilst I, by looking on the praise of him,"
88,Henry IV,7,1.1.85,See riot and dishonour stain the brow
89,Henry IV,7,1.1.86,Of my young Harry. O that it could be proved
90,Henry IV,7,1.1.87,That some night-tripping fairy had exchanged
91,Henry IV,7,1.1.88,"In cradle-clothes our children where they lay,"
92,Henry IV,7,1.1.89,"And call'd mine Percy, his Plantagenet!"
93,Henry IV,7,1.1.90,"Then would I have his Harry, and he mine."
94,Henry IV,7,1.1.91,"But let him from my thoughts. What think you, coz,"
95,Henry IV,7,1.1.92,"Of this young Percy's pride? the prisoners,"
96,Henry IV,7,1.1.93,"Which he in this adventure hath surprised,"
97,Henry IV,7,1.1.94,"To his own use he keeps, and sends me word,"
98,Henry IV,7,1.1.95,I shall have none but Mordake Earl of Fife.
99,Henry IV,8,1.1.96,"This is his uncle's teaching, this is Worcester,"
100,Henry IV,8,1.1.97,"Malevolent to you in all aspects,"
101,Henry IV,8,1.1.98,"Which makes him prune himself, and bristle up"
102,Henry IV,8,1.1.99,The crest of youth against your dignity.
103,Henry IV,9,1.1.100,"But I have sent for him to answer this,"
104,Henry IV,9,1.1.101,And for this cause awhile we must neglect
105,Henry IV,9,1.1.102,Our holy purpose to Jerusalem.
106,Henry IV,9,1.1.103,"Cousin, on Wednesday next our council we"
107,Henry IV,9,1.1.104,"Will hold at Windsor, so inform the lords:"
108,Henry IV,9,1.1.105,"But come yourself with speed to us again,"
109,Henry IV,9,1.1.106,For more is to be said and to be done
110,Henry IV,9,1.1.107,Than out of anger can be uttered.
111,Henry IV,10,1.1.108,"I will, my liege."
112,Henry IV,10,,Exeunt
113,Henry IV,10,,SCENE II. London. An apartment of the Prince's.
114,Henry IV,10,,Enter the PRINCE OF WALES and FALSTAFF
115,Henry IV,1,1.2.1,"Now, Hal, what time of day is it, lad?"
116,Henry IV,2,1.2.2,"Thou art so fat-witted, with drinking of old sack"
117,Henry IV,2,1.2.3,and unbuttoning thee after supper and sleeping upon
118,Henry IV,2,1.2.4,"benches after noon, that thou hast forgotten to"
119,Henry IV,2,1.2.5,demand that truly which thou wouldst truly know.
120,Henry IV,2,1.2.6,What a devil hast thou to do with the time of the
121,Henry IV,2,1.2.7,day? Unless hours were cups of sack and minutes
122,Henry IV,2,1.2.8,capons and clocks the tongues of bawds and dials the
123,Henry IV,2,1.2.9,signs of leaping-houses and the blessed sun himself
124,Henry IV,2,1.2.10,"a fair hot wench in flame-coloured taffeta, I see no"
125,Henry IV,2,1.2.11,reason why thou shouldst be so superfluous to demand
126,Henry IV,2,1.2.12,the time of the day.
