,Dataline,PlayerLinenumber,Play,ActSceneLine,PlayerLine
12763,12764,27.0,3,822,10303
97971,97972,12.0,31,7264,19225
17281,17282,122.0,5,7016,94620
62,63,4.0,9,782,7760
69494,69495,81.0,22,427,99904
63247,63248,9.0,20,8380,103491
89638,89639,47.0,28,3112,54404
36275,36276,11.0,8,13953,65570
87555,87556,46.0,27,8267,10297
85028,85029,47.0,26,14621,26189
30913,30914,33.0,7,9855,46800
101805,101806,2.0,32,12142,50498
30360,30361,25.0,7,7885,11888
16733,16734,6.0,5,5655,460
33027,33028,20.0,8,1470,83026
81418,81419,8.0,26,798,17053
29580,29581,40.0,7,3714,74889
94575,94576,49.0,30,3647,36353
22080,22081,34.0,4,13558,70768
90105,90106,34.0,28,6759,3961
4670,4671,1.0,11,6979,61991
46500,46501,38.0,15,929,81740
17184,17185,74.0,5,6910,37310
108082,108083,32.0,2,890,85567
108796,108797,13.0,2,4031,38303
32985,32986,8.0,8,1849,14404
27105,27106,25.0,6,10282,50946
16972,16973,4.0,5,6957,95192
107873,107874,43.0,34,14953,9211
14354,14355,30.0,3,8436,40185
97759,97760,33.0,31,6018,11219
13007,13008,10.0,3,1601,92353
44001,44002,51.0,16,3164,7854
101244,101245,31.0,32,7373,64626
15045,15046,106.0,3,10533,39337
1944,1945,5.0,9,6773,72767
39407,39408,2.0,10,12747,102049
14431,14432,10.0,3,8562,97254
83056,83057,59.0,26,5976,86077
79921,79922,14.0,25,6768,59984
65582,65583,4.0,21,7625,19494
93473,93474,9.0,29,13449,31491
50978,50979,6.0,17,7848,16368
96960,96961,102.0,31,729,62097
49275,49276,61.0,17,477,60080
9429,9430,14.0,12,13920,50594
54566,54567,93.0,18,10621,77394
83026,83027,41.0,26,5943,29315
56148,56149,1.0,35,2356,65250
29670,29671,4.0,7,4715,41351
23770,23771,20.0,0,10879,45112
42691,42692,18.0,14,10331,49503
41462,41463,12.0,14,5149,44245
63580,63581,69.0,20,9129,41742
109636,109637,7.0,2,10283,56116
60705,60706,8.0,19,11036,5450
62189,62190,11.0,20,4748,45165
60447,60448,58.0,19,9934,95569
60592,60593,33.0,19,10907,8822
28589,28590,24.0,7,337,62487
40050,40051,82.0,10,13841,4637
107654,107655,13.0,34,13631,39372
11024,11025,11.0,13,6968,100326
35134,35135,56.0,8,7967,4954
81226,81227,4.0,25,15669,36568
20234,20235,33.0,4,7265,55078
105843,105844,66.0,34,902,21110
42774,42775,38.0,14,9933,70135
52454,52455,13.0,17,14871,5130
64609,64610,15.0,21,2159,81234
97235,97236,3.0,31,4592,30437
46599,46600,65.0,15,1036,17732
27246,27247,13.0,6,11965,80197
88615,88616,8.0,28,47,57348
102150,102151,11.0,32,12974,44917
50247,50248,23.0,17,4042,28914
46234,46235,22.0,16,15908,12942
16858,16859,31.0,5,5586,45749
98307,98308,58.0,31,9931,69113
91316,91317,74.0,28,13568,10884
88945,88946,5.0,28,746,26073
35676,35677,7.0,8,12404,5402
19131,19132,17.0,4,2468,86676
84758,84759,5.0,26,12941,71198
84284,84285,26.0,26,10959,30862
46129,46130,1.0,16,15949,83497
103871,103872,20.0,33,5143,2336
52680,52681,81.0,17,14716,88086
34834,34835,8.0,8,7648,72609
53613,53614,3.0,18,6308,94625
5229,5230,3.0,11,10207,28954
25172,25173,23.0,6,2754,4795
1835,1836,1.0,9,7090,34841
48388,48389,57.0,15,10395,19911
96053,96054,161.0,30,10863,5228
73364,73365,69.0,23,4382,58205
93652,93653,43.0,29,13065,81915
72319,72320,31.0,23,874,33005
107533,107534,29.0,34,10943,71226
48632,48633,11.0,15,13085,44736
78009,78010,24.0,24,13453,53433
18042,18043,32.0,5,10383,75868
67781,67782,20.0,1,3667,6684
21532,21533,5.0,4,9551,3372
2401,2402,7.0,9,9996,101156
11472,11473,68.0,13,7458,60849
8956,8957,5.0,12,12738,99643
9295,9296,37.0,12,12953,86154
102496,102497,9.0,32,14580,48932
22946,22947,44.0,0,3653,61758
89689,89690,67.0,28,3166,13583
66831,66832,17.0,21,15675,17733
20955,20956,42.0,4,6556,28392
27276,27277,33.0,6,12106,82469
87095,87096,15.0,27,7272,1324
20947,20948,40.0,4,6548,73519
5793,5794,36.0,11,14528,73762
108357,108358,80.0,2,1190,42573
24897,24898,14.0,6,1828,31709
49415,49416,9.0,17,1172,91424
82266,82267,16.0,26,2220,51556
68197,68198,32.0,1,6822,88621
83799,83800,44.0,26,8793,3856
30842,30843,9.0,7,10129,759
83577,83578,6.0,26,8806,73857
45136,45137,18.0,16,9384,7812
85297,85298,7.0,27,287,57192
102892,102893,9.0,32,13528,89855
32153,32154,75.0,7,15349,84925
40863,40864,47.0,14,1917,40160
12828,12829,43.0,3,394,1894
108436,108437,98.0,2,1276,59337
99576,99577,119.0,32,998,95573
98727,98728,29.0,31,12965,59748
98735,98736,32.0,31,12971,79153
17201,17202,84.0,5,6928,57098
26337,26338,56.0,6,5982,79611
33174,33175,5.0,8,2497,3302
7942,7943,27.0,12,7284,54492
40298,40299,40.0,14,425,11705
60559,60560,26.0,19,10872,50961
28732,28733,14.0,7,995,59353
107405,107406,1.0,34,11135,99010
1625,1626,22.0,9,6326,18216
17110,17111,41.0,5,6828,96537
26810,26811,1.0,6,7736,78249
88347,88348,15.0,27,14894,71845
102882,102883,9.0,32,13517,91032
30521,30522,25.0,7,8443,90455
734,735,28.0,9,3624,100109
26746,26747,30.0,6,6777,18782
63740,63741,122.0,20,9305,25338
75454,75455,63.0,23,13578,58350
102935,102936,6.0,33,547,17655
52095,52096,85.0,17,12347,98621
13655,13656,46.0,3,4646,100241
54181,54182,43.0,18,9923,102909
95494,95495,7.0,30,10547,87794
15801,15802,17.0,5,776,91014
70330,70331,75.0,22,4378,101471
108042,108043,22.0,2,1440,78227
98117,98118,32.0,31,8974,7392
90976,90977,13.0,28,12042,27201
96052,96053,161.0,30,10862,52065
94721,94722,81.0,30,3801,40576
81716,81717,67.0,26,969,34234
76542,76543,10.0,24,3842,40733
18055,18056,34.0,5,10397,83020
82442,82443,93.0,26,2062,62052
78388,78389,31.0,24,14519,78037
18878,18879,9.0,4,1523,32942
66914,66915,47.0,21,15182,79333
25695,25696,2.0,6,3864,72758
29870,29871,1.0,7,5225,71663
14187,14188,42.0,3,6777,64613
71088,71089,54.0,22,8984,84987
58091,58092,15.0,35,14840,20403
45239,45240,5.0,16,9974,40250
50517,50518,35.0,17,4656,13666
97076,97077,11.0,31,3613,70961
56745,56746,2.0,35,4649,63408
90827,90828,75.0,28,10444,90628
50602,50603,55.0,17,4742,49107
68755,68756,45.0,1,9053,11395
28160,28161,24.0,6,14621,32792
91998,91999,109.0,29,1308,32464
110424,110425,154.0,2,11503,74507
110226,110227,116.0,2,11287,63263
99443,99444,54.0,32,1452,75457
92308,92309,111.0,29,3149,41551
14179,14180,42.0,3,6768,63364
61934,61935,1.0,20,3642,18987
83413,83414,1.0,26,8205,19552
73274,73275,45.0,23,4294,6921
32868,32869,50.0,8,1009,40443
14175,14176,42.0,3,6764,389
30770,30771,5.0,7,8689,82972
86690,86691,3.0,27,5292,72631
47714,47715,77.0,15,6101,18241
23689,23690,32.0,0,10301,63147
50580,50581,49.0,17,4719,12868
39700,39701,6.0,10,13687,46855
10197,10198,8.0,13,3455,52252
72022,72023,4.0,23,436,1401
86821,86822,6.0,27,6141,102176
103510,103511,116.0,33,2447,37645
39306,39307,21.0,10,12679,70374
43868,43869,13.0,16,3626,54777
78452,78453,9.0,25,724,80533
40722,40723,1.0,14,2103,74313
70010,70011,124.0,22,3257,49440
84017,84018,34.0,26,10321,26685
22922,22923,31.0,0,4242,43556
104396,104397,27.0,33,7262,97494
71325,71326,20.0,22,10096,87884
9613,9614,37.0,13,810,41887
105819,105820,65.0,34,877,37746
63822,63823,6.0,20,9974,13241
52452,52453,13.0,17,14869,15404
104599,104600,63.0,33,7860,101741
73642,73643,3.0,23,7781,15880
89077,89078,41.0,28,409,57207
51773,51774,5.0,17,11158,60867
49372,49373,85.0,17,583,78701
81040,81041,22.0,25,14857,72341
88804,88805,14.0,28,236,57546
64785,64786,11.0,21,3444,91828
10269,10270,18.0,13,3055,76630
57245,57246,2.0,35,8394,76126
7568,7569,18.0,12,5951,28378
97328,97329,25.0,31,4300,36902
64394,64395,107.0,21,457,97042
