Dataline,Play,PlayerLinenumber,ActSceneLine,PlayerLine,Player
1,Henry IV,,,ACT I,BELARIUS
2,Henry IV,,,SCENE I. London. The palace.,OCTAVIUS CAESAR
3,Henry IV,,,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others",FRIAR PETER
4,Henry IV,1,1.1.1,"So shaken as we are, so wan with care,",CORIN
5,Henry IV,1,1.1.2,"Find we a time for frighted peace to pant,",GARDINER
6,Henry IV,1,1.1.3,And breathe short-winded accents of new broils,GRATIANO
7,Henry IV,1,1.1.4,To be commenced in strands afar remote.,OF WINCHESTER
8,Henry IV,1,1.1.5,No more the thirsty entrance of this soil,SEBASTIAN
9,Henry IV,1,1.1.6,"Shall daub her lips with her own children's blood,",ROBIN
10,Henry IV,1,1.1.7,"Nor more shall trenching war channel her fields,",LADY ANNE
11,Henry IV,1,1.1.8,Nor bruise her flowerets with the armed hoofs,ADRIANO DE ARMADO
12,Henry IV,1,1.1.9,"Of hostile paces: those opposed eyes,",ROSS
13,Henry IV,1,1.1.10,"Which, like the meteors of a troubled heaven,",LUCIUS
14,Henry IV,1,1.1.11,"All of one nature, of one substance bred,",TIMON
15,Henry IV,1,1.1.12,Did lately meet in the intestine shock,GLOUCESTER
16,Henry IV,1,1.1.13,And furious close of civil butchery,AARON
17,Henry IV,1,1.1.14,"Shall now, in mutual well-beseeming ranks,",SCROOP
18,Henry IV,1,1.1.15,March all one way and be no more opposed,HAMLET
19,Henry IV,1,1.1.16,"Against acquaintance, kindred and allies:",LE BEAU
20,Henry IV,1,1.1.17,"The edge of war, like an ill-sheathed knife,",BARDOLPH
21,Henry IV,1,1.1.18,"No more shall cut his master. Therefore, friends,",OSWALD
22,Henry IV,1,1.1.19,"As far as to the sepulchre of Christ,",MARK ANTONY
23,Henry IV,1,1.1.20,"Whose soldier now, under whose blessed cross",DOGBERRY
24,Henry IV,1,1.1.21,"We are impressed and engaged to fight,",Young LUCIUS
25,Henry IV,1,1.1.22,"Forthwith a power of English shall we levy,",PRINCE
26,Henry IV,1,1.1.23,Whose arms were moulded in their mothers' womb,First Clown
27,Henry IV,1,1.1.24,To chase these pagans in those holy fields,MARINA
28,Henry IV,1,1.1.25,Over whose acres walk'd those blessed feet,QUEEN
29,Henry IV,1,1.1.26,Which fourteen hundred years ago were nail'd,IMOGEN
30,Henry IV,1,1.1.27,For our advantage on the bitter cross.,QUEEN MARGARET
31,Henry IV,1,1.1.28,"But this our purpose now is twelve month old,",CLEOPATRA
32,Henry IV,1,1.1.29,And bootless 'tis to tell you we will go:,TRANIO
33,Henry IV,1,1.1.30,Therefore we meet not now. Then let me hear,YORK
34,Henry IV,1,1.1.31,"Of you, my gentle cousin Westmoreland,",TRANIO
35,Henry IV,1,1.1.32,What yesternight our council did decree,MARIA
36,Henry IV,1,1.1.33,In forwarding this dear expedience.,Third Outlaw
37,Henry IV,2,1.1.34,"My liege, this haste was hot in question,",COMINIUS
